Country,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Nunavut,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
Vanuatu (New Hebrides),401100,0,82339,86790,0,0,0,0,0,202123,0,29848,0,0
Samoa (Western),289975,15417,120302,0,0,0,0,0,0,29528,0,124728,0,0
Solomon Islands,289346,30090,48226,0,0,0,0,0,0,28989,0,182041,0,0
Andorra,286805,0,9654,269654,0,0,0,0,0,7497,0,0,0,0
Niue,256598,220104,0,0,0,0,0,0,0,36494,0,0,0,0
British Indian Ocean Territories,244674,0,0,0,0,0,0,0,0,2061,0,242613,0,0
Nauru,208851,2407,206444,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,173320,29856,10244,0,0,0,0,0,0,65257,0,67963,0,0
East Timor,171331,27285,34646,0,0,0,0,0,0,22900,0,53461,33039,0
Falkland Islands,170496,0,3805,0,0,0,0,0,0,0,0,166691,0,0
Cocos (Keeling) Islands,163298,2195,0,0,0,0,0,0,0,0,0,0,161103,0
Bhutan,152867,0,2343,0,52928,0,0,0,0,97596,0,0,0,0
Cook Islands,149963,0,0,59166,0,0,0,0,0,0,0,90797,0,0
,145960,727996,168459,19203,472314,196428,874463,6418,0,4175790,901535,6303165,58800,0
Sao Tomé-Principe,142115,0,0,0,0,0,0,0,0,142115,0,0,0,0
Montserrat,141141,0,3987,0,7250,0,46611,0,0,62081,0,21112,100,0
"Korea, North",93989,0,0,91586,0,0,0,0,0,2403,0,0,0,0
Wallis and Futuna Islands,90991,8646,32989,0,0,0,0,0,0,48563,0,793,0,0
French Southern Territories,82386,0,0,0,0,0,0,0,0,24646,0,57740,0,0
Lesotho,80114,0,25713,0,0,0,2100,0,0,43501,0,8800,0,0
High Seas,79120,79120,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,33643,0,0,0,0,0,0,0,0,14974,0,18669,0,0
Norfolk Island,24906,0,0,0,0,0,0,0,0,24906,0,0,0,0
Central African Republic,24597,0,0,0,0,0,0,0,0,3312,0,21285,0,0
Pitcairn Island,23871,21483,0,0,0,0,0,0,0,2388,0,0,0,0
Heard and McDonald Island,12692,0,0,0,0,0,0,0,0,0,0,12692,0,0
Kiribati,6450,0,0,0,0,0,0,0,0,6450,0,0,0,0
Bouvet Island,1,0,1,0,0,0,0,0,0,0,0,0,0,0
