Country,Canada,Alberta,British Columbia, Manitoba ,New Brunswick,Newfoundland,Nova Scotia,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
Kyrgyzstan,14404910,83657,95957,154881,0,140830,18555,0,10527557,0,3135447,248026,0
Georgia,14158371,493748,1907134,252024,22492,410059,101221,0,6676760,123743,3357309,813881,0
U.S. Minor Outlying Islands,13920980,68491,550469,32004,5148096,0,7800,0,4345910,23453,3288748,448442,0
Turkmenistan,13860078,7841615,23718,820045,0,0,923429,0,2762995,0,1488276,0,0
Liberia,13813079,157582,4288979,4,111424,39274,36275,0,4090049,0,4653975,435517,0
Saint Vincent and the Grenadines,13726238,19954,149116,94595,455185,0,26301,0,8973432,98128,3819451,90076,0
Saint Kitts and Nevis,12590759,20055,5291680,447399,478389,0,141558,0,4697015,262306,1249904,0,2453
Mali,12228847,1027606,3962920,44302,7600,0,0,0,5075253,0,2111166,0,0
Saint Lucia,11943045,170624,216205,59616,744651,0,269822,8275,5401084,754978,4306909,5664,0
Laos,11798032,2100,9861563,0,18075,0,0,0,604987,0,1311307,0,0
Mauritania,11783941,168771,1690426,47688,30015,0,3200,0,7839970,0,1662905,337066,0
Antigua and Barbuda,11459781,383842,457292,18111,623678,0,82545,0,3170235,141151,6555574,26353,0
Nepal,11056336,670712,307453,2817,543,0,0,0,907984,0,2362978,6803849,0
Namibia,10969890,667590,3931171,112378,0,0,11636,0,4652552,0,1594563,0,0
Brunei Darussalam,10666893,1506649,578311,34598,27281,0,4600,0,1602149,0,6908029,5276,0
Aruba,10525979,217846,104329,1074,2950867,8479,753879,0,3774854,62119,2582459,70073,0
Guinea,10489368,938252,1948603,0,23900,19300,25750,0,1710406,0,5773063,50094,0
Cayman Islands,9420265,230402,276982,38672,220775,849231,79462,1289,6790197,349787,583407,0,0
Dominica,9102497,39379,337888,0,264604,0,228478,0,3857380,18508,4175927,180333,0
Tajikistan,8590029,41614,4797,0,0,0,11466,0,6028994,0,2457966,0,0
Mongolia,7945651,427172,3043922,325514,0,0,17228,0,2169774,6243,973658,982140,0
Cambodia (Kampuchea),7600505,1230845,935676,13028,0,0,152004,0,3392340,0,1259350,617262,0
,7230314,727996,168459,19203,692229,196428,874463,0,4213493,1523529,6303214,58800,0
Sierra Leone,7216036,99973,2099466,167112,0,0,98512,0,4455087,0,263386,32500,0
Malawi,6684759,901671,339761,503787,0,0,0,0,3533996,0,405554,999990,0
Mauritius,6528832,41838,1477194,878662,236083,39852,0,0,1297397,0,1503428,1054378,0
Grenada,6079193,129052,91615,11143,662641,0,31667,0,1385809,0,3705753,59029,0
Uzbekistan,5951816,4291296,42752,0,0,0,0,0,740917,0,876851,0,0
Macedonia,5796087,368476,222926,273609,7941,0,0,0,2005489,0,2736577,181069,0
Fiji,5640549,364957,2657400,749562,539330,0,500,0,315911,219589,346056,447244,0
Swaziland,5258480,61987,186052,10811,0,0,0,0,4290922,0,685814,20894,0
